subject	subject_group	mp_epochs_quantity_sqrt	mr_epochs_quantity_sqrt	mean_epochs_quantity_sqrt	pca_variance_lh	pca_variance_rh	mp_lh_pca_v1	mp_rh_pca_v1	mr_lh_pca_v1	mr_rh_pca_v1	mp_lh_pca_v2	mp_rh_pca_v2	mr_lh_pca_v2	mr_rh_pca_v2	mp_lh_mean_v1	mp_rh_mean_v1	mr_lh_mean_v1	mr_rh_mean_v1	mp_lh_mean_v2	mp_rh_mean_v2	mr_lh_mean_v2	mr_rh_mean_v2	mp_lh_mean_in_region_of_min_tmin_and_max_tmax	mp_lh_mean_in_region_of_average_tmin_and_average_tmax	mp_lh_pca_in_region_of_min_tmin_and_max_tmax	mp_lh_pca_in_region_of_average_tmin_and_average_tmax	sign_flips_quantity_lh	mp_rh_mean_in_region_of_min_tmin_and_max_tmax	mp_rh_mean_in_region_of_average_tmin_and_average_tmax	mp_rh_pca_in_region_of_min_tmin_and_max_tmax	mp_rh_pca_in_region_of_average_tmin_and_average_tmax	sign_flips_quantity_rh	mr_lh_mean_in_region_of_min_tmin_and_max_tmax	mr_lh_mean_in_region_of_average_tmin_and_average_tmax	mr_lh_pca_in_region_of_min_tmin_and_max_tmax	mr_lh_pca_in_region_of_average_tmin_and_average_tmax	mr_rh_mean_in_region_of_min_tmin_and_max_tmax	mr_rh_mean_in_region_of_average_tmin_and_average_tmax	mr_rh_pca_in_region_of_min_tmin_and_max_tmax	mr_rh_pca_in_region_of_average_tmin_and_average_tmax
Z202	td	18.33030277982336	18.2208671582886	18.275584969055977	0.9844504594802856	0.9739554524421692																	-6.52651381136899	-6.80856296135051	-7.479868	-7.7988315	0.0	-8.243814377461206	-8.254192131228548	-10.807245	-10.836736	0.0	-4.729253990295047	-4.835860301222294	-5.453558	-5.582251	-7.688313192159498	-7.405394129551284	-9.610835	-9.243263
Z207	td	15.491933384829668	15.524174696260024	15.508054040544845	0.9050377011299133	0.8664400577545166																	-0.8375699374403136	-0.632259676163231	-1.1098201	-0.8062453	0.0	-3.349460050696744	-3.2842342277155185	-4.226868	-4.163555	0.0	0.003129219682208248	0.28965442336700803	0.0524656	0.43032572	-1.6627453191552395	-1.352304812141186	-2.5495954	-2.1878622
Z209	td	15.329709716755891	15.198684153570664	15.264196935163277	0.9807107448577881	0.9638844132423401																	-7.909635153960334	-8.35863948399946	-9.0423355	-9.541115	0.0	-6.571643974373313	-6.80728934471498	-7.8719893	-8.106831	0.0	-5.54415649501356	-5.831879054214915	-6.439026	-6.7301397	-4.667236474436276	-4.598822057315733	-6.04868	-5.871549
Z213	td	15.033296378372908	14.933184523068078	14.983240450720494	0.925251841545105	0.9512301087379456																	-2.4297873074332563	-2.5204522589725133	-2.9606032	-3.0681872	0.0	-3.848673478540508	-3.9576849084904495	-4.9817286	-5.2070775	0.0	-2.1696830314353255	-2.2382439244058263	-2.6053147	-2.710224	-3.4233423002887884	-3.2395823999336275	-4.706958	-4.617123
Z214	td	15.716233645501712	15.811388300841896	15.763810973171804	0.9537199139595032	0.9047565460205078																	-4.356596896137946	-4.402757265921941	-5.020377	-5.082347	0.0	-3.830793898228682	-3.7350147821860573	-5.452265	-5.3761277	0.0	-2.0896491402313737	-1.8700650669059806	-2.4346635	-2.2126534	-2.1361596305172426	-1.7783360199000355	-3.303532	-2.8509543
Z217	td	13.19090595827292	13.711309200802088	13.451107579537503	0.9267848134040833	0.8846145272254944																	-2.7560139801091648	-2.6675480441804766	-3.1346285	-3.0315442	0.0	-1.840509874368942	-1.743459300801005	-2.3968832	-2.2693589	0.0	-1.2481483754873328	-1.2286670779561815	-1.6256603	-1.6425817	-0.9410291284887435	-0.7601700264591008	-1.2847238	-1.03307
Z218	td	15.394804318340652	15.620499351813308	15.507651835076981	0.9501270651817322	0.9205222725868225																	-4.895316171329418	-4.862227266492267	-7.632394	-7.655975	0.0	-6.499241281936554	-6.826452083715497	-9.34452	-9.777882	0.0	-4.583921394181089	-4.429463913578541	-7.5603013	-7.41322	-7.07490953969478	-7.242083655928468	-9.449941	-9.7463455
Z221	td	15.362291495737216	15.394804318340652	15.378547907038934	0.9597076177597046	0.9524959921836853																	-5.0148358317625625	-5.0616975154463475	-6.3383994	-6.446921	0.0	-5.793123538111575	-5.993125440199283	-6.503811	-6.731167	0.0	-4.590060797325454	-4.537583741800284	-6.0558376	-6.016422	-4.5013375351273055	-4.3550967064498325	-5.2142186	-5.0794983
Z224	td	13.820274961085254	13.856406460551018	13.838340710818136	0.9501994252204895	0.9082280397415161																	-3.032537185325983	-2.9960039100054874	-4.8534946	-4.811739	0.0	-5.056077934497997	-5.37696439596971	-6.189896	-6.5620427	0.0	-1.6491838699950945	-1.5947279035586184	-2.9892967	-2.9320784	-3.589304367454312	-3.4890533357610347	-4.4937534	-4.3922276
Z226	td	14.212670403551895	14.177446878757824	14.195058641154858	0.972858726978302	0.9680899977684021																	-6.59917048222109	-6.8359842585742685	-7.965705	-8.258834	0.0	-5.037251484918588	-5.016365734912698	-6.1061826	-6.075373	0.0	-4.85503694513678	-5.002113648061818	-5.7660165	-5.9534407	-3.8914608488636495	-3.7046126254776555	-4.7341204	-4.530957
Z227	td	15.329709716755891	15.264337522473747	15.29702361961482	0.9554315209388733	0.9795673489570618																	-6.619704494373112	-6.964388220816521	-7.3980603	-7.787729	0.0	-9.764883734540646	-10.196717987124748	-12.46151	-13.004678	0.0	-4.47700915383312	-4.277979592635037	-5.347625	-5.1706967	-8.220678402398542	-8.202505826502964	-10.106243	-10.105014
Z229	td	15.132745950421556	15.329709716755891	15.231227833588724	0.8860108852386475	0.8285413384437561																	-1.8861533867392914	-1.776106838952361	-2.2475371	-2.1170337	0.0	-1.393459841731977	-1.273175084311732	-1.7916428	-1.6097435	0.0	-1.789115771946761	-1.7959424527168184	-2.1085253	-2.096951	-0.681596523467675	-0.5919527571150967	-0.8047786	-0.6286349
Z230	td	15.297058540778355	15.427248620541512	15.362153580659934	0.9282346367835999	0.9326038360595703																	-2.467293865035151	-2.5835398200821733	-3.6547678	-3.8119226	0.0	-4.700698479183946	-4.944055577462078	-5.4150486	-5.6866584	0.0	-2.6591306222426287	-2.6966287437773957	-3.5729303	-3.6575189	-3.811168974621046	-3.784870679944664	-4.511665	-4.46144
Z231	td	12.649110640673518	12.922847983320086	12.785979311996801	0.7179854512214661	0.9728260040283203																	-0.848217358776828	-0.948031918163112	-1.5563893	-1.7800336	0.0	-4.198184152835116	-4.175335403260652	-5.2616324	-5.2562857	0.0	-0.495135924281756	-0.5966767317816578	-1.2105168	-1.5646958	-3.438675931241948	-3.374444479145594	-4.438651	-4.372526
Z232	td	14.628738838327791	14.422205101855956	14.525471970091875	0.7360820770263672	0.9629875421524048																	-1.6549746821853968	-1.6209468362139756	-2.4544768	-2.4210536	0.0	-5.5577337127894815	-5.485033320477173	-7.2719727	-7.2181053	0.0	-0.45280704378487685	-0.33999693770553485	-0.8842824	-0.7490304	-3.470403016170778	-3.1826547502947555	-5.211176	-4.8979807
Z233	td	15.198684153570664	15.491933384829668	15.345308769200166	0.9410470128059387	0.8141408562660217																	-2.6423293071146574	-2.544273697964372	-2.9339628	-2.824252	0.0	-1.7225423600055516	-1.7115379482688287	-2.3051705	-2.338483	0.0	-2.0551523554802946	-1.918588690051654	-2.3305612	-2.170389	-1.6724912412650252	-1.721039706972085	-2.7373998	-2.9205492
Z234	td	14.866068747318506	15.297058540778355	15.08156364404843	0.9421160221099854	0.9614976048469543																	0.4981766943459568	0.802133515042159	0.5767074	0.96247125	0.0	-7.3955982962094655	-7.668868070169583	-8.667761	-8.959193	0.0	0.3692773123046422	0.7758468189740799	0.5670823	1.075836	-7.357662206879818	-7.46071443049972	-8.437904	-8.498375
Z235	td	15.652475842498529	15.811388300841896	15.731932071670212	0.9247797727584839	0.9280930161476135																	-3.3190631209920753	-3.577157368873776	-3.9310198	-4.243991	0.0	-5.115602486518565	-5.494254319570807	-6.313418	-6.7148933	0.0	-2.4745201311248395	-2.6071879688315973	-2.9324927	-3.1087215	-4.187745791510391	-4.28798142145177	-5.3564754	-5.33225
Z236	td	14.247806848775006	14.2828568570857	14.265331852930354	0.963550865650177	0.9630367159843445																	-2.7928168513281015	-2.877862110367302	-3.789328	-3.903811	0.0	-6.510806427408828	-6.538520847109709	-7.716258	-7.732955	0.0	-2.933710834869293	-2.9154901205195944	-4.3610296	-4.390525	-5.1234691653716515	-5.080806272668262	-6.0190444	-5.9134626
Z237	td	15.297058540778355	15.0	15.148529270389178	0.942814826965332	0.9413787126541138																	-2.8745235500309274	-2.8728361922307735	-3.7443182	-3.8157256	0.0	-3.9742064731987528	-4.024161523969151	-4.6565504	-4.7153616	0.0	-2.321584465023884	-2.2212769557890164	-2.8243008	-2.723532	-3.385481340565387	-3.2317965138511098	-4.0028076	-3.8242304
Z238	td	15.556349186104043	15.652475842498529	15.604412514301286	0.9502959847450256	0.9810751676559448																	-3.946799075303234	-4.046750033000539	-5.145176	-5.2710032	0.0	-6.152899561498994	-6.152882567077292	-7.3269105	-7.329922	0.0	-3.2671438834219	-3.275902894793257	-4.201404	-4.196276	-6.152335099916271	-6.254647247712993	-7.220628	-7.369068
Z239	td	15.362291495737216	15.362291495737216	15.362291495737216	0.9702808856964111	0.9535936713218689																	-2.645064744028242	-2.318988362851304	-3.6646671	-3.2781954	0.0	-6.372479653262755	-7.004728105240072	-7.4560432	-8.152751	0.0	-2.1644089913858187	-1.8437397067552428	-3.0713284	-2.6844654	-4.906874776832478	-5.137256016559564	-6.3646708	-6.6586165
Z240	td	15.716233645501712	15.716233645501712	15.716233645501712	0.8157418370246887	0.9559363722801208																	-0.776760368399526	-0.4725011326750214	-2.0621953	-1.7151461	0.0	-7.875415361186738	-7.919063364553857	-10.200755	-10.318939	0.0	-0.18055329346610663	0.18548377504430819	-1.1242341	-0.6929473	-6.8212161630974055	-6.719228662662177	-8.831865	-8.74461
Z241	td	15.066519173319364	15.066519173319364	15.066519173319364	0.9576954245567322	0.93734210729599																	-4.07076841436299	-4.11226563115847	-5.0393786	-5.1118135	0.0	-3.7927707854765336	-3.6435648700075913	-4.3405504	-4.1902957	0.0	-3.7668754738035495	-3.8344610803846275	-4.6659055	-4.7863145	-3.006915551750393	-2.927803791087877	-3.5208654	-3.4444187
Z242	td	15.231546211727816	15.588457268119896	15.410001739923857	0.8142029643058777	0.9203384518623352																	-1.5450249710919894	-1.5673620547877678	-2.8162627	-2.8951385	0.0	-4.307146922267401	-4.575870111363578	-5.09016	-5.38756	0.0	-1.3537070597074665	-1.206431502982903	-2.5109053	-2.3629408	-2.3605011274898864	-2.371492917149342	-2.9932356	-2.9642227
Z243	td	15.459624833740309	14.832396974191326	15.146010903965816	0.9083113670349121	0.9749601483345032																	-2.2634761322232655	-2.4136780452685658	-2.772	-2.913756	0.0	-4.242202995992083	-4.242987315606054	-5.3574147	-5.4339156	0.0	-1.8907561284489502	-1.6782923199535174	-2.087684	-1.8146542	-3.8895087199197365	-3.8160298813054907	-4.6389737	-4.5848856
Z245	td	15.033296378372908	15.033296378372908	15.033296378372908	0.8136401176452637	0.9642269611358643																	-0.7734813538648014	-0.8422428257344577	-1.631868	-1.7447196	0.0	-4.501495786980859	-4.702125068675061	-5.292666	-5.5204544	0.0	-0.5374115673503633	-0.4939374946113952	-1.6594807	-1.6050124	-4.226640623475364	-4.291662579593409	-4.895676	-4.962752
Z246	td	16.46207763315433	16.852299546352718	16.657188589753524	0.8315460085868835	0.917591392993927																	-1.0590114841259588	-1.134254066770182	-1.8375872	-1.9444863	0.0	-2.7804565995984207	-2.7916319928947453	-3.4593737	-3.4757583	0.0	-0.8981776126979936	-0.9219861250854069	-1.4196123	-1.458533	-2.0100942887812487	-2.039422408963218	-2.8034527	-2.831081
Z247	td	11.874342087037917	12.083045973594572	11.978694030316245	0.7359707355499268	0.8745452165603638																	-0.7946559804824526	-0.827471396780236	-1.0070661	-1.0765795	0.0	-2.975891779376878	-2.73502820456213	-3.9392262	-3.6908152	0.0	0.5990025169885538	0.7467020066312162	0.57655406	0.75667214	-1.7279821324577789	-1.6176515461214738	-2.4679005	-2.4139345
